ffy_id,input_type,unit,gc_rate,prcp_5,gdd_5,edd_5,prcp_30,gdd_30,edd_30,prcp_t,gdd_t,edd_t,stage_gdd_t,stage_edd_t,stage_gdd_nitrogen,stage_edd_nitrogen,s_time,n_time,yield_time
1_1_2023,urea,lbs,282,2.4,4.3,0.2,2.3,4,0.1,505.3,1599.2,76.4,0,0,0,0,,,2023-10-20
1_2_2023,urea,lbs,347,2.4,4.3,0.2,2.3,4,0.1,505.3,1599.2,76.4,0,0,0,0,,,
1_3_2023,urea,lbs,76.087,2.4,4.3,0.2,2.4,4,0.1,486.8,1600.9,76,0,0,0,0,,,
10_1_2022,urea,lbs,358.6957,4.4,8.2,0.9,3.7,8.2,0.9,624.4,2619.7,406.6,2174.87,348.32,1728.545,326.36,2022-03-30T12:13:18Z,2022-05-20T23:08:35Z,2022-08-29
11_1_2021,uan32,gallons,28.255,2.8,4.6,0.2,2.6,4.4,0.2,442.9,1659.7,62.6,1785.625,62.56,1491.69,54.84,2021-04-23T00:00:00Z,2021-06-10T13:10:20Z,2021-11-08
12_1_2023,uan32,lbs,109.38,1,3,0.2,1,2.8,0.2,288.4,1089.8,66.3,0,0,0,0,,,2023-07-24
13_1_2018,uan28,gallons,28,2.8,4.9,0.1,2.9,4.5,0.1,583,1775.7,67.9,1780.96,67.91,1594.8,66.15,2018-05-05T00:00:00Z,2018-05-28T00:00:00Z,2018-10-06
13_2_2018,uan28,gallons,28,2.8,4.9,0.1,2.9,4.5,0.1,583,1775.7,67.9,1780.96,67.91,1594.8,66.15,2018-05-05T00:00:00Z,2018-05-28T00:00:00Z,2018-10-06
14_1_2022,24-0-0-3 UAN,gallons,48,3,5.2,0.2,3,4.9,0.2,560.3,1731,56.2,0,0,1258.36,43.38,,2022-06-16T12:16:06Z,2022-09-27
16_1_2023,uan32,gallons,37,2.1,4.3,0.2,2.2,4,0.1,425.6,1607.5,62,1635.575,68.09,0,0,2023-05-05T00:00:00Z,,2023-10-20
16_2_2023,uan32,gallons,37,2.1,4.3,0.2,2.2,4.1,0.1,419.7,1613.9,66.1,1635.24,72.1,0,0,2023-05-05T00:00:00Z,,2023-10-18
17_1_2023,uan32,gallons,16,2.4,4.6,0.2,2.7,4.4,0.2,484.6,1625.5,64.7,0,0,1182.865,68.53,,2023-06-22T00:00:00Z,2023-10-03
18_1_2023,uan32,gallons,22,2.4,4.5,0.2,2.7,4.3,0.1,451,1606.6,64.2,0,0,1119.54,63.88,,2023-06-27T00:00:00Z,2023-10-04
19_1_2022,uan32,gallons,44,3.1,5.6,0.2,2.9,5.5,0.3,525.2,1868.4,101,1829.525,94.59,1651.85,90.75,2022-05-13T00:00:00Z,2022-05-31T00:00:00Z,2022-11-03
19_2_2018,uan32,gallons,41.53,2.8,5.6,0.2,2.8,5.5,0.3,554.7,2023.9,116.2,2058.685,117.15,2059.665,117.15,2018-04-27T00:00:00Z,2018-04-26T00:00:00Z,2018-10-05
19_3_2023,uan32,gallons,44,2.9,5.6,0.2,2.9,5.6,0.3,438,1873,87.8,1760.755,87.84,1532.855,87.31,2023-05-05T00:00:00Z,2023-05-30T00:00:00Z,2023-09-28
19_4_2017,uan32,gallons,43.6539,2.9,5.5,0.2,2.8,5.5,0.3,574.5,1861.2,101.1,1938.835,101.1,1710.53,100.54,2017-04-25T00:00:00Z,2017-05-30T00:00:00Z,2017-10-28
19_4_2019,uan32,gallons,51.5653,3,5.8,0.2,2.9,5.5,0.3,726,1910.7,72.2,1856.7,78.19,1605.39,74.56,2019-05-16T00:00:00Z,2019-06-07T00:00:00Z,2019-10-10
