ffy_id,n_clu_1,n_clu_2,n_clu_3,n_clu_4,n_clu_5,n_clu_6,obs_included_1,obs_included_2,obs_included_3,obs_included_4,obs_included_5,obs_included_6,obs_excluded_1,obs_excluded_2,obs_excluded_3,obs_excluded_4,obs_excluded_5,obs_excluded_6,total_obs_included,total_obs_excluded
13_1_2018,190.708639806905,205.578821011938,217.21593453378,225.098923253403,232.589203800831,240.699427683829,814,876,25,845,62,662,114,193,64,127,37,190,3284,725
19_1_2022,95.7056811004142,106.337854708955,130.918407122895,155.551935339499,180.254576457107,204.302214107626,197,215,210,210,217,161,25,24,25,53,22,76,1210,225
19_2_2018,149.634916239085,162.114263039355,174.504641800975,186.894095882284,199.498180436786,223.354990246377,196,90,284,184,300,137,29,19,59,74,79,235,1191,495
19_3_2023,101.12165240187,129.412567681369,132.22797057674,155.665635875247,180.216515806102,201.690249960435,14,162,119,180,154,194,572,13,17,105,152,166,823,1025
19_4_2017,169.866468801512,178.440798589353,189.823473968703,200.136832335567,210.105953572378,228.963154799824,620,38,656,44,786,460,149,51,217,111,346,343,2604,1217
19_4_2019,149.582732228714,179.962532451795,193.405030147664,210.111277351646,234.908609648127,265.881684960078,526,540,33,538,941,74,491,229,101,217,364,230,2652,1632
20_1_2019,127.204555697035,133.623006071618,142.187391937854,159.876764815699,169.448195659087,234.777991228208,19,22,42,99,457,22,25,37,107,135,219,377,661,900
20_3_2020,135.592409942375,159.0667410171,173.822261657249,187.98829002097,204.519943309256,228.655949521414,15,51,29,183,26,9,64,122,128,383,196,110,313,1003
20_4_2022,162.808567526206,170.590563324536,188.72356163156,215.265796552023,241.409259290094,266.840079950798,106,75,52,53,58,26,41,39,79,50,42,64,370,315
20_5_2023,149.844730771911,160.075606734027,170.240919606959,184.80983287024,193.906521127771,200.878937840414,94,112,118,73,54,85,41,33,39,59,81,80,536,333
22_1_2021,200.775527454946,210.247843133882,224.564345476703,237.169192104643,243.001689749004,247.771848142729,235,22,590,82,446,544,131,75,220,152,317,212,1919,1107
23_1_2021,152.822897858994,184.686807016507,213.259398660519,240.165972946956,260.965584367866,281.941371250806,33,32,49,11,25,13,58,72,80,97,81,46,163,434
23_2_2020,167.604735902194,191.033750160897,209.304947819833,225.206616265708,246.056330515458,265.804444370104,11,70,58,40,80,9,85,201,227,202,171,97,268,983
23_3_2017,169.718885037534,179.444446256673,188.102478942136,194.645181437017,202.812980356892,210.389665048841,71,55,121,130,111,69,125,123,158,137,165,108,557,816
23_3_2019,162.918285450664,184.827716857109,199.57899902268,214.340269691073,232.758492445711,251.343294281539,10,60,60,77,55,12,91,341,229,226,175,71,274,1133
23_3_2021,152.617142824821,191.409865996046,220.866468771349,236.707906125112,255.22299223612,275.930208556706,68,62,27,18,37,22,91,173,123,134,173,128,234,822
25_1_2020,170.557774236141,179.385958328137,186.730452805924,192.57727212063,195.822754833788,201.245554156392,32,88,277,294,318,520,31,112,142,97,109,193,1529,684
25_2_2018,166.874112024006,183.070671711256,194.408303913013,205.926270510688,209.173824746856,230.063048926436,25,63,283,170,407,229,78,229,228,66,118,137,1177,856
28_1_2021,119.134673134651,133.97676819497,149.529064360148,167.253951475348,180.80950614536,227.459979556411,304,15,311,12,276,13,94,55,172,65,316,829,931,1531
28_1_2023,134.491368190976,147.361983189214,151.771249711921,162.878502714549,176.52540079233,189.557381261322,249,267,82,250,248,200,168,177,95,250,263,268,1296,1221
28_2_2017,147.375862055559,168.371337415245,189.704540328947,196.784399511088,209.769347446955,216.934291922087,631,637,971,123,630,26,257,403,744,246,358,61,3018,2069
28_2_2021,119.092952311465,124.210162212807,149.64811942876,180.14405927121,209.765186482726,238.655003471335,167,92,211,139,113,80,38,65,104,142,103,53,802,505
28_3_2023,134.448201057452,143.348083608278,148.186519080519,162.481805601819,176.263015809788,189.307947713369,522,82,518,506,496,454,116,84,182,308,284,237,2578,1211
28_5_2018,106.146361058923,115.633703090697,118.46812995339,135.542696340325,186.541376920758,209.003888451415,53,2459,1289,22,11,238,140,736,402,139,68,495,4072,1980
29_1_2018,190.708639806905,205.578821011938,217.21593453378,225.098923253403,232.589203800831,240.699427683829,814,876,25,845,62,662,114,193,64,127,37,190,3284,725
30_1_2022,129.691976041888,157.391026250193,182.068657021639,196.958169186493,210.032399471726,221.272536760465,118,198,151,21,210,31,64,121,123,96,236,76,729,716
30_2_2022,154.235006840138,181.899754285455,190.460831955425,208.588275262452,213.056908793194,223.121242438308,12,150,25,167,77,16,453,117,94,190,95,60,447,1009
31_1_2017,155.264316023369,167.263027729294,174.434403728873,183.510296222162,194.739203356246,199.274914867218,109,135,91,142,89,89,162,183,164,222,86,98,655,915
34_2_2020,131.8264,148.435944259866,167.6776,179.628,203.5288,215.4792,174,80,216,560,226,158,265,637,378,530,331,236,1414,2377
36_1_2023,165.783934373666,185.783574014078,205.028588582944,215.500451581983,220.592965063378,226.127324479063,83,111,191,77,192,442,311,149,186,101,113,144,1096,1004
36_2_2023,150.595469081146,168.616381679956,186.170922582752,204.674670633977,218.071992185229,225.140347703129,36,40,65,81,82,155,44,90,75,100,136,177,459,622
36_3_2018,191.66856,196.99729017997,202.12516,207.738202423088,212.275455242815,217.599027651623,303,120,1174,953,148,237,78,137,181,184,134,163,2935,877
36_3_2020,159.90268373277,179.047502429777,205.204870650812,229.221456429426,243.037941487323,256.937575496248,257,194,70,212,246,225,156,333,839,291,253,229,1204,2101
36_4_2021,142.862771837006,158.778900360061,176.318165252547,196.829466079454,219.118413242264,246.789312903739,198,190,78,147,54,42,605,430,289,628,446,205,709,2603
37_1_2023,2.32526849137818,35.5340857056062,47.4695935753106,61.6977438573944,68.3492043906754,74.2157991434823,23,105,92,91,27,61,304,118,81,59,27,31,399,620
38_1_2022,0,18.2084936908892,35.5123408475661,52.9917975331796,70.3008187326988,88.8484796498651,88,17,20,75,47,13,0,13,29,26,49,21,260,138
40_1_2017,160.012323981961,176.245982873934,192.109637086786,204.399051720011,213.767156608958,226.575885035845,212,40,57,61,91,70,22,88,233,242,197,108,531,890
40_2_2018,160,167.835888872064,179.29528807641,190.711474861801,200.448024261961,246.066121335436,587,50,94,51,35,18,115,108,203,128,93,88,835,735
